Date,Close
12/31/2011,11.422
1/31/2012,11.99
2/29/2012,12.835
3/31/2012,12.535
4/30/2012,11.381
5/31/2012,11.893
6/30/2012,11.909
7/31/2012,12.315
8/31/2012,12.665
9/30/2012,12.916
10/31/2012,12.803
11/30/2012,13.314
12/31/2012,14.119
1/31/2013,14.289
2/28/2013,14.793
3/31/2013,15.191
4/30/2013,16.117
5/31/2013,15.8
6/30/2013,16.645
7/31/2013,15.792
8/31/2013,16.174
9/30/2013,16.71
10/31/2013,17.449
11/30/2013,17.758
12/31/2013,17.108
1/31/2014,17.628
2/28/2014,18.148
3/31/2014,17.839
4/30/2014,18.107
5/31/2014,18.473
6/30/2014,18.205
7/31/2014,18.976
8/31/2014,18.822
9/30/2014,19.366
10/31/2014,19.821
11/30/2014,20.089
12/31/2014,18.692
1/31/2015,19.781
2/28/2015,19.586
3/31/2015,19.602
4/30/2015,19.984
5/31/2015,19.805
6/30/2015,20.479
7/31/2015,19.033
8/31/2015,18.408
9/30/2015,19.561
10/31/2015,19.951
11/30/2015,19.358
12/31/2015,17.644
1/31/2016,17.132
2/29/2016,18.278
3/31/2016,18.936
4/30/2016,19.293
5/31/2016,18.57
6/30/2016,19.212
7/31/2016,19.951
8/31/2016,19.3
9/30/2016,19.74
10/31/2016,22.51
11/30/2016,23.25
12/31/2016,23.31
1/31/2017,24.54
2/28/2017,23.73
3/31/2017,23.53
4/30/2017,23.25
5/31/2017,24.67
6/30/2017,25.09
7/31/2017,24.7
8/31/2017,25.86
9/30/2017,26.6
10/31/2017,27.52
11/30/2017,27.91
12/31/2017,29.74
1/31/2018,28.87
2/28/2018,27.57
3/31/2018,27.45
4/30/2018,27.18
5/31/2018,26.59
6/30/2018,27.95
7/31/2018,28.33
8/31/2018,27.58
9/30/2018,26.28
10/31/2018,26.97
11/30/2018,23.82
12/31/2018,25.94
1/31/2019,26.52
2/28/2019,25.71
3/31/2019,28.02
4/30/2019,26.01
5/31/2019,27.6
6/30/2019,28.25
7/31/2019,26.92
8/31/2019,28
9/30/2019,28.7
10/31/2019,30.15
11/30/2019,30.78
12/31/2019,29.96
1/31/2020,26.59
2/29/2020,20.82
3/31/2020,22.79
4/30/2020,23.41
5/31/2020,23.14
6/30/2020,24.03
7/31/2020,25.06
8/31/2020,24.07
9/30/2020,23.86
10/31/2020,27.88
11/30/2020,29.48
12/31/2020,28.95
1/31/2021,32.31
2/28/2021,34.05
3/31/2021,36.26
4/30/2021,37.99
5/31/2021,36.69
6/30/2021,36.52
7/31/2021,38.4
8/31/2021,37.53
9/30/2021,40.26
10/31/2021,37.96
11/30/2021,38.03
12/3/2021,38.03
